Country Name,Match,Region,"Population, total [SP.POP.TOTL]","Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",GDP per capita (current US$) [NY.GDP.PCAP.CD]
"Korea, Dem. People's Rep.","Korea, Democratic People's Republic of",Asia,26328845,73.641,0
"Korea, Rep.","Korea, Republic of",Asia,51672569,82.6804878,34822.40484
Kosovo,Solomon Islands,Oceania,1768096,77.623,5290.950065
Kuwait,Kuwait,Asia,4589643,80.58780488,39981.7691
Kyrgyz Republic,Central African Republic,Africa,6975220,72.04878049,1739.720183
Lao PDR,Lao People's Democratic Republic,Asia,7559007,68.715,2046.404403
Latvia,Latvia,Europe,1879383,74.27804878,20221.10369
Lebanon,Lebanon,Asia,5744489,78.003,3654.358455
Lesotho,Lesotho,Africa,2286110,56.812,1030.125829
Liberia,Liberia,Africa,5373294,61.934,744.6171752
Libya,Libya,Africa,7223805,74.462,5986.636949
Liechtenstein,Liechtenstein,Europe,39493,84.12195122,188055.0032
Lithuania,Lithuania,Europe,2831639,75.64390244,25085.78406
Luxembourg,Luxembourg,Europe,653103,82.94634146,123719.6589
"Macao SAR, China",China,Asia,677300,83.0804878,36806.89126
Madagascar,Madagascar,Africa,30437261,63.068,503.5145335
Malawi,Malawi,Africa,20568728,66.037,604.2697404
Malaysia,Malaysia,Asia,34695493,75.444,11754.56783
Maldives,Maldives,Asia,524106,80.76,11786.01915
Mali,Mali,Africa,23072640,60.035,976.9141164
Malta,Malta,Europe,531113,82.44878049,35638.88695
Marshall Islands,Marshall Islands,Oceania,40077,66.725,6455.660622
Mauritania,Mauritania,Africa,4875637,68.281,1960.352401
Mauritius,Mauritius,Africa,1262523,73.51463415,10246.50175
Mexico,Mexico,Americas,128613117,73.973,11405.79405
"Micronesia, Fed. Sts.","Micronesia, Federated States of",Oceania,112114,66.961,3710.124516
Moldova,"Moldova, Republic of",Europe,2528654,71.546,5744.296184
Monaco,Monaco,Europe,38931,85.746,226052.0019
Mongolia,Mongolia,Asia,3433748,71.90073171,4993.514875
Montenegro,Montenegro,Europe,623591,76.18780488,10024.54356
Morocco,Morocco,Africa,37329064,75.161,3463.137695
Mozambique,Mozambique,Africa,32656246,63.011,578.2516638
Myanmar,Myanmar,Asia,53756787,66.506,1158.050051
Namibia,Namibia,Africa,2889662,64.19,4349.799085
Nauru,Nauru,Oceania,11801,61.93,12911.90864
Nepal,Nepal,Asia,29715436,70.087,1385.910663
Netherlands,"Netherlands, Kingdom of the",Europe,17700982,81.61463415,59123.31856
New Caledonia,New Caledonia,Oceania,287123,77.698,33516.36309
New Zealand,New Zealand,Oceania,5081700,81.95853659,49099.70904
Nicaragua,Nicaragua,Americas,6730654,74.463,2322.89054
Niger,Niger,Africa,25311973,60.398,609.7451476
Nigeria,Nigeria,Africa,223150896,54.079,2899.160475
North Macedonia,North Macedonia,Europe,1831712,74.42487805,7606.237525
Northern Mariana Islands,Northern Mariana Islands,Oceania,46078,78.531,23785.75459
Norway,Norway,Europe,5457127,82.5097561,109269.5206
Oman,Oman,Asia,4730226,77.911,23223.58294
Pakistan,Pakistan,Asia,243700667,67.417,1538.322813
Palau,Palau,Oceania,17759,68.922,13729.76028
Panama,Panama,Americas,4400773,79.324,17378.607
Papua New Guinea,Papua New Guinea,Oceania,10203169,65.274,3102.289686
Paraguay,Paraguay,Americas,6760464,72.319,6205.625954
Peru,Peru,Americas,33475438,76.834,7350.630343
Philippines,Philippines,Asia,113964338,69.472,3548.069306
Poland,Poland,Europe,36821749,77.15609756,18891.21212
Portugal,Portugal,Europe,10434332,81.63170732,24620.51976
Puerto Rico (US),Puerto Rico,Americas,3220137,79.427,35353.68216
Qatar,Qatar,Asia,2657333,81.857,88701.46898
Romania,Romania,Europe,19048502,75.15365854,15503.5518
Russian Federation,Russian Federation,Europe,144236933,72.54560976,15619.61426
Rwanda,Rwanda,Africa,13651030,67.528,975.4693237
Samoa,Samoa,Oceania,215261,71.55,4132.447177
San Marino,San Marino,Europe,33755,85.708,54190.84177
Sao Tome and Principe,Sao Tome and Principe,Africa,226305,69.237,2389.737298
Saudi Arabia,Saudi Arabia,Asia,32175224,77.31,38510.22762
Senegal,Senegal,Africa,17651103,67.788,1574.028106
Serbia,Serbia,Europe,6664449,75.23658537,10024.81911
Seychelles,Seychelles,Africa,119878,73.70243902,16836.67219
Sierra Leone,Sierra Leone,Africa,8276807,61.275,860.3710679
Singapore,Singapore,Asia,5637022,82.89512195,90299.06946
Sint Maarten (Dutch part),Sint Maarten (Dutch part),Americas,42139,76.18,37793.12844
Slovak Republic,Central African Republic,Africa,5431752,76.96585366,21317.7944
Slovenia,Slovenia,Europe,2112076,81.28292683,28360.30415
Solomon Islands,Solomon Islands,Oceania,781066,70.409,1877.781045
"Somalia, Fed. Rep.",Mali,Africa,17801897,53.931,573.1411658
South Africa,South Africa,Africa,62378410,65.454,6534.248678
South Sudan,South Sudan,Africa,11021177,57.203,0
Spain,Spain,Europe,47786102,83.13414634,30319.49872
Sri Lanka,Sri Lanka,Asia,22181000,77.3,3342.636503
St. Kitts and Nevis,Saint Kitts and Nevis,Americas,46709,70.313,21011.57442
St. Lucia,Saint Lucia,Americas,178781,72.67,13103.82431
St. Martin (French part),Saint Martin (French part),Americas,28870,80.236,0
St. Vincent and the Grenadines,Saint Vincent and the Grenadines,Americas,102046,71.191,9693.558678
Sudan,Sudan,Africa,49383346,65.695,1046.240845
Suriname,Suriname,Americas,623164,73.254,6084.438767
Sweden,Sweden,Europe,10486941,83.05853659,54836.89072
Switzerland,Switzerland,Europe,8777088,83.60487805,94394.51068
Syrian Arab Republic,Syrian Arab Republic,Asia,22462173,72.79,1051.671496
Tajikistan,Tajikistan,Asia,10182222,71.562,1052.179495
Tanzania,"Tanzania, United Republic of",Africa,64711821,66.879,1207.52063
Thailand,Thailand,Asia,71735329,75.291,6909.352818
Timor-Leste,Timor-Leste,Asia,1369295,67.368,2343.249547
Togo,Togo,Africa,9089738,62.29,951.2323787
Tonga,Tonga,Oceania,105042,72.635,5298.019415
Trinidad and Tobago,Trinidad and Tobago,Americas,1365805,73.331,20750.52024
Tunisia,Tunisia,Africa,12119334,76.05,3707.292834
Turkiye,T�rkiye,Asia,84979913,77.591,10897.83979
