PLUS_MINUS
13
27
9
-5
7
-8
9
23
9
8
-10
1
17
20
-20
7
25
-12
18
11
15
-14
-16
-1
16
-24
6
-13
11
11
2
36
-10
-1
17
-14
12
21
-2
2
0
19
-2
8
-6
-15
18
12
15
16
1
-9
12
-4
2
22
29
-5
-17
-21
11
21
-20
-11
20
4
-1
-14
0
