economy,Country,Internet_Usage,GDP_USD,GDP_per_Capita,Poverty_Rate,Total_Population
AFG,Afghanistan,17.7089,17152234636.8715,413.757894705303,,42647492.0
ALB,Albania,83.1356,27046429296.6673,11377.7757431099,0.3,2377128.0
DZA,Algeria,76.9081,269322281664.773,5752.99076651465,0.0,46814308.0
ASM,American Samoa,0.0,871000000.0,18017.4589383973,,46765.0
AND,Andorra,95.4456,4039842405.48117,49303.6491674336,,81938.0
AGO,Angola,44.7581,100998916781.079,2665.87444776753,39.3,37885849.0
ATG,Antigua and Barbuda,77.5756,2207622874.07407,23542.4526945578,,93772.0
ARG,Argentina,89.6672,638365455340.04,13969.7836603737,1.0,45696159.0
ARM,Armenia,79.9966,25955275380.0321,8556.21406956719,1.9,3033500.0
ABW,Aruba,97.17,4265650673.00236,39498.5941293797,,107995.0
AUS,Australia,97.0631,1757022451652.83,64603.9856308464,1.0,27196812.0
AUT,Austria,94.9197,534790720466.822,58268.8787651601,0.5,9177982.0
AZE,Azerbaijan,89.0,74315882352.9412,7283.8499076179,0.0,10202830.0
BHS,"Bahamas, The",94.8186,15832800000.0,39455.4466548546,,401283.0
BHR,Bahrain,100.0,47109734308.5106,29653.5682731534,,1588670.0
BGD,Bangladesh,44.5027,450119432068.852,2593.41611680774,5.9,173562364.0
BRB,Barbados,79.9923,7498050000.0,26544.8707282621,1.7,282467.0
BLR,Belarus,94.2618,75961865471.9129,8317.63399913792,0.0,9132629.0
BEL,Belgium,95.7758,671370081636.406,56614.5679499036,0.1,11858610.0
BLZ,Belize,72.3595,3203631800.0,7681.24400583113,1.0,417072.0
BEN,Benin,32.2083,21482643706.4249,1485.38018885134,27.2,14462724.0
BMU,Bermuda,98.37,9233600000.0,142855.374713782,,64636.0
BTN,Bhutan,88.426,3012896789.24928,3831.32535494609,0.0,791524.0
BOL,Bolivia,70.2368,54881327452.9667,4421.16609889999,2.8,12413315.0
BIH,Bosnia and Herzegovina,86.1009,29613572022.8993,9358.78768951134,0.2,3164253.0
BWA,Botswana,81.36,19402063512.9066,7695.75319445165,21.4,2521139.0
BRA,Brazil,84.4635,2185821648943.86,10310.5488778166,3.8,211998573.0
BRN,Brunei Darussalam,99.0336,15340808592.48,33153.4738913513,,462721.0
BGR,Bulgaria,82.439,113343355779.985,17596.0173663521,1.0,6441421.0
BFA,Burkina Faso,17.0226,23124729853.0218,981.992649769081,42.1,23548781.0
BDI,Burundi,11.0784,3082433067.32634,219.424830882698,74.2,14047786.0
CPV,Cabo Verde,73.539,2725414150.72735,5192.48157325878,14.6,524877.0
KHM,Cambodia,60.7171,46352647037.2406,2627.87969756224,,17638801.0
CMR,Cameroon,41.9088,53296694320.2057,1830.00833684727,26.7,29123744.0
CAN,Canada,93.9564,2243636826633.76,54340.3477224733,0.2,41288599.0
CYM,Cayman Islands,81.0677,7241244269.45972,99143.5180243123,,74457.0
CAF,Central African Republic,7.50916,2751494281.06887,516.160999996036,71.6,5330690.0
TCD,Chad,13.1832,19518819751.283,961.55975562506,39.5,20299123.0
CHI,Channel Islands,,12507320838.3932,74585.5224096294,,168126.0
CHL,Chile,94.4574,330267137371.592,16709.8893972307,0.5,19764771.0
CHN,China,92.0,18743803170827.2,13303.1481543868,0.0,1408975000.0
COL,Colombia,77.3369,418818154879.271,7919.20886825345,7.7,52886363.0
COM,Comoros,35.6678,1440991455.45188,1662.75663312504,31.4,866628.0
COD,"Congo, Dem. Rep.",30.548,70962185790.7094,649.383338556725,85.3,109276265.0
COG,"Congo, Rep.",38.3791,15719986076.6464,2482.2489948456,39.2,6332961.0
CRI,Costa Rica,85.3951,95350423176.5962,18587.1532203482,1.3,5129910.0
