,Time,Time Code,Country Name,Country Code,"Population, total [SP.POP.TOTL]",Population growth (annual %) [SP.POP.GROW],Surface area (sq. km) [AG.SRF.TOTL.K2],Poverty headcount ratio at national poverty lines (% of population) [SI.POV.NAHC],"GNI, Atlas method (current US$) [NY.GNP.ATLS.CD]","GNI per capita, Atlas method (current US$) [NY.GNP.PCAP.CD]","GNI, PPP (current international $) [NY.GNP.MKTP.PP.CD]","GNI per capita, PPP (current international $) [NY.GNP.PCAP.PP.CD]",Income share held by lowest 20% [SI.DST.FRST.20],"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]","Adolescent fertility rate (births per 1,000 women ages 15-19) [SP.ADO.TFRT]","Contraceptive prevalence, any method (% of married women ages 15-49) [SP.DYN.CONU.ZS]",Births attended by skilled health staff (% of total) [SH.STA.BRTC.ZS],"Mortality rate, under-5 (per 1,000 live births) [SH.DYN.MORT]","Prevalence of underweight, weight for age (% of children under 5) [SH.STA.MALN.ZS]","Immunization, measles (% of children ages 12-23 months) [SH.IMM.MEAS]","Primary completion rate, total (% of relevant age group) [SE.PRM.CMPT.ZS]","School enrollment, secondary (% gross) [SE.SEC.ENRR]","School enrollment, primary and secondary (gross), gender parity index (GPI) [SE.ENR.PRSC.FM.ZS]","Prevalence of HIV, total (% of population ages 15-49) [SH.DYN.AIDS.ZS]",Forest area (sq. km) [AG.LND.FRST.K2],"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal) [ER.GDP.FWTL.M3.KD]",Energy use (kg of oil equivalent per capita) [EG.USE.PCAP.KG.OE],Electric power consumption (kWh per capita) [EG.USE.ELEC.KH.PC],GDP (current US$) [NY.GDP.MKTP.CD],GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],"Inflation, GDP deflator (annual %) [NY.GDP.DEFL.KD.ZG]","Agriculture, forestry, and fishing, value added (% of GDP) [NV.AGR.TOTL.ZS]","Industry (including construction), value added (% of GDP) [NV.IND.TOTL.ZS]",Exports of goods and services (% of GDP) [NE.EXP.GNFS.ZS],Imports of goods and services (% of GDP) [NE.IMP.GNFS.ZS],Gross capital formation (% of GDP) [NE.GDI.TOTL.ZS],"Revenue, excluding grants (% of GDP) [GC.REV.XGRT.GD.ZS]",Market capitalization of listed domestic companies (% of GDP) [CM.MKT.LCAP.GD.ZS],Military expenditure (% of GDP) [MS.MIL.XPND.GD.ZS],Mobile cellular subscriptions (per 100 people) [IT.CEL.SETS.P2],High-technology exports (% of manufactured exports) [TX.VAL.TECH.MF.ZS],Merchandise trade (% of GDP) [TG.VAL.TOTL.GD.ZS],Net barter terms of trade index (2015 = 100) [TT.PRI.MRCH.XD.WD],"External debt stocks, total (DOD, current US$) [DT.DOD.DECT.CD]",Total debt service (% of GNI) [DT.TDS.DECT.GN.ZS],Net migration [SM.POP.NETM],"Personal remittances, paid (current US$) [BM.TRF.PWKR.CD.DT]","Foreign direct investment, net inflows (BoP, current US$) [BX.KLT.DINV.CD.WD]",Net ODA received per capita (current US$) [DT.ODA.ODAT.PC.ZS],GDP per capita (current US$) [NY.GDP.PCAP.CD],"Foreign direct investment, net (BoP, current US$) [BN.KLT.DINV.CD]","Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]"
10,2022,YR2022,Australia,AUS,26018721.0,1.28931130985537,7741220.0,,1581764554142.8328,60790.0,1651138216224.6829,63460.0,,83.2,1.63,6.747,,,3.7,,96.0,,133.277267456055,,0.1,1340051.0,137.03594364022644,4942.163722028419,9923.431670603639,1695627535475.8005,4.253045592387323,7.199544340720095,2.672426999506184,27.401962084845664,25.46152983736588,20.233112043209342,23.699795712443226,26.131348255083008,99.02952711420889,1.88329708969124,109.469,25.83187041162716,42.572557056136716,181.0,,,140972.0,6530528854.30703,68709419796.6457,,65169.519111865666,58640230943.976105,6.594096713418462
11,2022,YR2022,Austria,AUT,9041851.0,0.956287797076634,83879.0,,509176132339.51526,56310.0,642451358145.9478,71050.0,7.8,81.2951219512195,1.41,4.205,,,3.2,,95.0,97.1591720581055,101.458000183105,,,38954.5,136.29704636958485,3486.7294329376255,8256.605865325584,473221298968.2158,5.330963794003708,5.023431563332707,1.3464959645730148,25.844468387538623,61.42731211868732,62.1522665342146,29.23679400144268,44.264983392109805,26.002210861659584,0.7667060083267719,121.166,14.914170247260156,94.1310124821577,94.0,,,157365.0,6949674700.78465,14301504457.0346,,52336.772522375766,112362400.32462299,8.546869931884496
12,2022,YR2022,Azerbaijan,AZE,10141756.0,0.039507866238038,86600.0,,57455094615.68127,5670.0,213379981895.79846,21040.0,,74.125,1.67,35.293,,,19.4,,71.0,99.7032805695039,90.9530364179442,,0.1,11548.256000000001,4.359378775140892,1714.0372598283175,2365.862479830909,78807470588.2353,4.71468033247649,37.27072112937472,4.6122083081105325,56.14673735768555,59.98684806680763,26.99542518737026,12.003714189532642,38.44842120820137,1.8627421855348139,3.7953702508048295,107.506,3.9129441620027037,66.85533694551202,173.3,15457490377.2,2.1831176909555676,9086.0,811938000.0,-4474481000.0,4.7819302194441375,7770.594223350996,4646691000.0,13.8522590144267
13,2022,YR2022,"Bahamas, The",BHS,397538.0,0.293483989063331,13880.0,,13432451488.035147,33790.0,13834311248.93776,34800.0,,74.491,1.379,24.679,,,12.9,,80.0,,,,1.2,5098.6,,,,13896800000.0,10.877900941026766,4.124169662850633,0.41448390996488405,9.50434632433366,37.15891428242473,38.824045823498935,23.815554660065626,18.748901754360716,,,101.624,0.0,31.43169650567037,98.9,,,1001.0,216507922.479998,530913950.39875,,34957.16132797368,-316430192.37875,5.605406335830438
14,2022,YR2022,Bahrain,BHR,1524693.0,1.34221960637543,790.0,,43142062339.69546,28300.0,90066506256.57167,59070.0,,80.992,1.839,8.122,,,8.4,,99.0,101.043024771838,103.393222951005,,0.1,7.4,248.06393904054843,10701.792757509216,22689.15775175724,46458191489.3617,6.180161254751852,7.134888799007811,0.24616046914750622,46.38962737029633,95.96136540060041,71.17987575193436,24.590186898767367,,65.13880336243751,3.42339334548769,139.636,0.5699591963159788,98.43473999729795,138.4,,,18975.0,2711702127.65957,1951329787.23404,,30470.52192760228,-3457446.80851082,3.62574104304482
15,2022,YR2022,Bangladesh,BGD,169384897.0,1.02423384746683,147570.0,18.7,483370788278.34064,2850.0,1488102430377.472,8790.0,8.8,74.265,2.179,73.128,64.0,,30.7,21.7,96.0,96.6163713445783,67.0384586440383,,0.1,18834.0,8.520477506392828,297.1183563427057,602.6747473241371,460131689083.0827,7.0998287757515754,5.0490218788313115,11.21760103515951,33.92008049718756,12.882226434898525,20.897740835674973,32.04727558090502,,25.04288505528114,0.990983394484057,109.867,,30.347616413523387,73.9,96944431751.0,1.421335819791521,-549990.0,135240485.625237,1634888030.42697,30.727603726012834,2716.4859278043114,-1603289892.55869,7.696954371768982
16,2022,YR2022,Barbados,BRB,282318.0,0.0605883465692588,430.0,,6859993857.438635,24300.0,6114486487.255499,21660.0,,75.676,1.712,45.848,,,10.4,,85.0,87.0643827525103,104.222328186035,,1.1,63.0,82.5697447154656,,,6884900000.0,17.226462679337942,-1.2507343562653972,1.4488227860971112,12.813548490174147,,,,,,,114.581,17.011739306168195,38.47550436462403,92.6,,,-80.0,,200000000.0,,24387.038729376094,,
17,2022,YR2022,Belarus,BLR,9228071.0,-0.804228426880244,207630.0,3.9,66525038944.719406,7210.0,251336575106.96036,27240.0,,74.10336585365854,1.326,9.903,,,2.6,,98.0,94.2244718234595,99.0602032881737,,,87966.0,40.505743773498125,2862.4870345370555,3902.765810969595,73775179924.60303,-4.6583959132899935,14.884862363536683,8.04181871674039,33.029095545083386,63.05118689384281,56.97302068225104,21.59790648339794,26.07257158835765,3.38407849706567,1.64869313490861,128.315,,103.73542982641774,105.9,39858867169.4,9.634036117063518,-8000.0,164657870.37,1606417743.38,1.9016402724692627,7994.648060748886,-1426218875.83,15.20967527408096
18,2022,YR2022,Belgium,BEL,11680210.0,0.808165350001861,30689.0,12.3,634617780052.0645,54330.0,805380374301.6471,68950.0,9.4,81.7487804878049,1.53,4.372,,,3.7,,96.0,,142.918075561523,,0.2,6893.0,120.84015051725737,4368.445625674273,7282.745772550323,591085783326.2668,3.9562379757933,6.699037611866103,0.6714304115147964,20.002116480919334,94.42134467444052,96.75768662934556,27.286480835603772,37.28494692140213,,1.1624655128724701,101.68,22.817913517326545,209.82775004679849,97.1,,,118615.0,8009404879.74839,13136474102.1507,,50605.74966770862,21118313600.595497,9.597511728725
19,2022,YR2022,Belize,BLZ,402733.0,1.85124805102003,22970.0,,2702036317.4592624,6710.0,5166203147.3095665,12830.0,,72.19,1.949,53.404,,,12.8,,81.0,108.684100125857,87.4381668552162,,1.2,12547.3,24.971682494922934,,,2846604350.0,9.250513295309943,7.286854911232751,7.7485812174775885,15.486833874411806,52.57878742439215,55.261462661644565,20.19191743313397,,,0.9791737858975681,67.175,0.00018155445213167352,66.71106225211804,82.5,1471192939.9,2.8338486376872805,5936.0,41395472.3829643,140907967.620593,52.17579552108419,7068.217280431452,-139707558.830593,6.276893194475437
20,2022,YR2022,Benin,BEN,13759501.0,2.54740926342667,114760.0,,18679223213.921284,1360.0,52513064087.869255,3820.0,,60.475,4.634,78.86,22.4,,80.4,,52.0,61.6417503356934,43.5606498718262,,0.7,30351.5,128.96851088303785,375.82098364933654,105.30905154191275,17425405090.862,6.25294705373625,4.138994478753673,26.896678796812385,17.017826707817036,20.81533004744576,23.566262840296652,31.148371643097335,,,0.632087491743063,105.745,4.287156206215209,49.54260721621447,113.0,10927329920.1,2.9869891720546367,-192.0,102731291.456694,375988902.223793,61.663056011942224,1266.4271103190442,-329419204.124988,1.350778635835274
21,2022,YR2022,Bermuda,BMU,64749.0,0.156108751379667,4290.0,,8559624501.931178,132200.0,7174056726.869671,110800.0,,82.062,1.397,1.614,,,,,,,,,,10.0,,,,7874381000.0,6.476225711867073,1.4457934854470693,0.2185441623919391,5.325904347275043,50.298848887296664,24.898376139026038,12.536566366295968,,2.628778058872183,,105.274,12.540290834702713,15.569477778634283,127.4,,,0.0,171910319.143367,5893778.6383343,,121613.9399836291,14707318.361665701,
22,2022,YR2022,Bhutan,BTN,780914.0,0.703183917780367,38390.0,12.4,2810795223.130817,3600.0,11152433318.605757,14280.0,8.8,72.754,1.478,9.388,,,23.9,,97.0,,89.9829129407455,,0.2,27290.0,7.741501838371922,,,2898227743.7557607,5.213867837862239,5.794855169797827,14.671011956090444,31.82484473808018,25.498839958787627,60.07237656382627,55.77882929403778,,,,95.1298,0.012217993986519864,77.11609292317739,175.1,3160243054.4,4.80762922393824,291.0,33684108.3160668,8402097.14562732,249.9649267907145,3711.327679815909,-8402097.14562732,5.639166713963702
23,2022,YR2022,Bolivia,BOL,12077154.0,1.16425907336882,1098580.0,37.7,50617292052.35307,4190.0,144944483166.17023,12000.0,5.1,67.434,2.584,65.76,,,23.9,,69.0,96.544110752129,90.3729338176816,,0.4,504164.44399999996,103.57855332570642,798.2932200523145,859.3084099118054,50959081953.6903,3.7474178124146107,2.591002750816031,8.660284813061772,32.01927226103229,27.793991504201543,29.73094207476151,18.040801574836795,,,0.973250888476219,101.572,5.517697487182869,50.66810274067387,80.9,15930334885.1,4.839926913412912,-3008.0,319306430.893004,6236980.0828294,27.799162926010222,4219.461137424454,-87031312.65507361,1.746328729459686
24,2022,YR2022,Bosnia and Herzegovina,BIH,3204802.0,-1.24363802761194,51210.0,,24693150146.72568,7710.0,66788549060.43422,20840.0,,76.777,1.481,11.089,,,6.2,,58.0,100.880813598633,87.0373992919922,,,21879.1,64.9840615681781,2270.72637629896,3773.0880098052858,24534663636.17784,4.226813333903252,11.808838185719651,4.826249270626831,24.663248259927926,48.30712734100345,61.89815703638336,27.90266802502121,35.874435283747374,,0.7520287307492179,118.944,5.224749177601036,102.10044193580165,108.4,13439997978.9,4.115686902644894,-485.0,107867530.396403,929439990.796357,88.94933366910219,7655.5942102438285,-848752904.054012,14.0208440826771
25,2022,YR2022,Botswana,BWA,2439892.0,1.58848021878269,581730.0,,20124230777.60448,8250.0,48822957868.50253,20010.0,,68.749,2.785,54.585,,,40.7,,90.0,101.532181974812,,,17.4,150181.0,81.91389664862925,1165.1496869612097,1522.198523541206,20321150599.15232,5.486017064467717,14.61767672418759,1.579789821793665,37.45712971191776,43.543611776361104,42.068095977982075,26.791517866856,29.45723824970397,152.67334321755473,2.51778285669486,178.205,0.5023812940932434,81.05840227711867,77.3,2002717072.9,0.8687376505433612,-7306.0,211834421.023256,709624140.359235,37.19650188930301,8328.7090572666,-699506126.122522,11.66556747880202
